Placering;Uddannelse;Antal;GnsIndkomst;Retning
1;Mejeribrugsvidenskab, cand.lact.;263;1241446;Natur
2;Finansiering, HD-2.del (CBS);1090;1187618;
3;Forsikringsvidenskab, cand.act.;278;1180098;Science
4;Business administration (MBA), master (CBS);674;1066450;
5;Statsvidenskab, cand.polit.;2968;1052373;Samf
6;Business administration (MBA), master;358;1049550;
7;Revisorkandidat, cand.merc.aud. (CBS);3035;1028705;
8;Ledelsesudvikling, master (CBS);90;987478;
9;Management of technology, master (CBS);371;955484;
10;Afs’_tnings’Ùkonomi, HD-2.del;1068;946494;
11;Udenrigshandel, HD-2.del (CBS);611;946014;
12;Regnskabsv’_sen, HD-2.del (CBS);2290;943195;
13;L’_ge, cand.med.;15211;926244;Sund
14;Matematik-’Ùkonomi, cand.scient.oecon.;724;909823;Science
15;Informatik, HD-2.del (CBS);572;889139;
16;Erhvervs’Ùkonomi, ph.d.merc. (CBS);169;868765;
17;Corporate communication, master (CBS);20;857035;
18;Maskin, civiling.kand.;2393;853619;Ing
19;Jura, cand.jur.;15962;849602;Jur
20;Matematik, cand.merc. (CBS);475;847594;Business
21;Indk’Ùbs-/transport’Ùkonomi, HD-2.del (CBS);287;838858;
22;Revisorkandidat, cand.merc.aud.;3686;831793;
23;Public administration (MPA), master (CBS);336;824472;
24;’…konomi, cand.oecon.;5046;809791;Samf
25;Elektro, civiling.kand.;4046;805757;Ing
26;Kemi, civiling.kand.;1378;801156;Ing
27;Public management (MPM), master;262;796800;
28;Organisation, HD-2.del (CBS);881;792850;
29;Public governance (MPG), master (CBS);46;786433;
30;Erhvervs’Ùkonomi, cand.merc. (CBS);11412;775365;Business
31;Skovbrugsvidenskab, cand.silv.;493;769929;Natur
32;Farmaci, cand.pharm.;3170;762135;Sund
33;Tandl’_ge, cand.odont.;3724;761439;Sund
34;Erhvervsret, cand.merc. (CBS);1032;755898;Business
35;Erhvervs’Ùkonomi HA, bach. (CBS);3423;751325;
36;Datalogi, cand.merc. (CBS);771;747053;Business
37;Afs’_tnings’Ùkonomi/udenrigshandel, HD-2.del (CBS);87;745950;
38;Statskundskab, ph.d.scient.pol. (CBS);134;737512;
39;Erhvervs’Ùkonomi, cand.merc.;10237;731976;Business
40;Officer (lang vidg. udd.), flyvev’Çbnet;686;722444;
41;Bygning, civiling.kand.;2883;713565;Ing
42;Datalogi, cand.scient.;2223;706368;Science
43;Anl’_g,civiling.kand.;512;701789;Ing
44;Biomekanik, cand.manu.;480;690626;Natur
45;Civilingeni’Ùr kand. u.n.a.;7079;688277;Ing
46;HA erhvervsret, bach, (CBS);268;684066;
47;Samfundsfag, cand.mag.;556;682349;Samf
48;Statskundskab, cand.scient.pol.;4772;673928;Samf
49;Oplevelsesledelse (MOL), master (CBS);43;670362;
50;Matematik, cand.scient.;940;663859;Science
51;HA matematik, bach. (CBS);160;655521;
52;Technology management (MTM), master;300;646953;
53;HA datalogi, bach. (CBS);399;642500;
54;Fysik, cand.scient.;907;642439;Science
55;Officer (lang vidg. udd.), s’Ùv’_rnet;564;640159;
56;Officer (lang vidg. udd.), h’_ren;1324;638257;
57;Erhvervsret, cand.merc.;1025;635397;Business
58;Kemi, cand.scient.;936;632411;Natur
59;HA sprog, bach. (CBS);490;631415;
60;Landbrugsvidenskab, cand.agro.;2367;629438;Natur
61;Interpret, cand.merc. (CBS);737;629255;Bus/kom
62;Tysk, cand.negot.;256;627145;Bus/kom
63;Fransk, cand.negot.;272;626213;Bus/kom
64;Registreret revisor (CBS);25;621430;
65;Geologi, cand.scient.;842;619443;Natur
66;Naturidenskab u.n.a., cand.scient.;867;613539;Natur
67;Kulturgeografi A, cand.scient.;471;613500;
68;Landinspekt’Ùr, kand.;900;611008;Natur
69;Levnedsmiddelvidenskab, cand.brom.;721;607671;Natur
70;IT til organisationer, cand.it.;420;605558;Science
71;Forvaltning, cand.scient.adm.;2404;605419;Samf
72;Norr’Ùn filologi, cand.mag.;1265;603840;Hum
73;Historie, cand.phil.;396;600327;Hum
74;Engelsk, cand.negot.;565;599558;Bus/kom
75;IT, civiling.kand.;536;597817;Ing
76;L’_reprocesser (MLP), master;406;596256;
77;Biokemi, cand.scient.;527;592784;Natur
78;Filosofi, lic.phil (CBS);20;591415;Bus/kom
79;Veterin’_rvidenskab, cand.med.vet.;2154;581618;Natur
80;Psykologi-p’_dagogik, cand.psyk.p’_d.;748;580981;Samf
81;Offentlig virksomheds’Ùkonomi, HD-2.del (CBS);1708;580652;
82;Virksomhedsstudier, cand.soc.;560;578613;Bus/kom
83;Teknologisk-samfundsvid. planl’_gning, cand.techn.soc.;1067;569752;Natur
84;E-business, cand.it.;443;563800;Bus/kom
85;Datalingvistik, cand.ling.merc. (CBS);111;558848;Bus/kom
86;Language administration (MLA), master (CBS);13;556755;
87;Sygeplejevidenskab, cand.scient.;437;551671;Sund
88;Voksenuddannelse, master;517;550325;
89;Geografi, cand.scient.;662;549932;Natur
90;Engelsk, erhvervssproglig afgangseksamen EA (CBS);10;546049;Bus/kom
91;Biologi, cand.scient.;3810;542288;Natur
92;Russisk, cand.ling.merc. (CBS);28;525274;Bus/kom
93;Dansk, cand.phil.;513;524323;Hum
94;Fransk, cand.interpret. (CBS);59;522080;Bus/kom
95;HA erhvervs’Ùkonomi og filosofi, bach. (CBS);143;520852;Bus/kom
96;Psykologi, cand.psych.;5530;520810;Samf
97;Kommunikation, cand.ling.merc. (CBS);280;518003;Bus/kom
98;Engelsk, cand.interpret. (CBS);137;517503;Bus/kom
99;Fransk, cand.ling.merc. (CBS);198;516275;Bus/kom
100;Tysk, cand.mag.;812;512949;Hum
101;Socialt arbejde, cand.soc.;340;512464;Samf
102;P’_dagogik, cand.p’_d.;554;511412;Hum
103;HA international business, bach. (CBS);128;510561;Business
104;Musikvidenskab, cand.phil.;259;510514;Hum
105;Tysk, cand.interpret. (CBS);41;507550;Bus/kom
106;Historie, cand.mag.;3555;505350;Hum
107;Idr’_t/Idr’_t og sundhed, cand.scient.;973;505081;Natur
108;Softwareudvikling og -teknologi, cand.it.;307;500465;Science
109;Erhvervssproglig korrespondent, fransk (CBS);269;497918;Bus/kom
110;Fransk, erhvervssproglig diplompr’Ùve ED (CBS);94;496604;Bus/kom
111;Samfundsvidenskab kombination, cand.mag.;906;492981;Hum
112;Fransk studier, cand.mag.;858;490578;Hum
113;Havebrugsvidenskab gartneri, cand.hort.;374;489581;Natur
114;Landskabsarkitektur, cand.hort.arch.;535;488945;Natur
115;Arkitekt, cand.arch.;5982;488694;Science
116;Socialvidenskab, cand.soc.;444;488137;Samf
117;Engelsk, cand.mag.;2939;488116;Hum
118;Engelsk, erhvervssproglig diplompr’Ùve ED (CBS);334;485752;Bus/kom
119;Audiologop’_di, cand.mag.;346;484768;Hum
120;Tysk, cand.ling.merc. (CBS);112;484330;Bus/kom
121;Sundhedsfaglig, cand.scient.san.;430;484009;Sund
122;Spansk og spanskamerikanske studier, cand.mag.;500;483405;Hum
123;Dansk, cand.mag.;2864;482179;Hum
124;Sprog-international virksomhedskommunikation, cand.mag.;346;481378;Kom
125;Sociologi, cand.scient.soc.;831;480706;Samf
126;Erhvervssproglig diplompr’Ùve ED u.n.a. (CBS);11;479976;Bus/kom
127;Molekyl’_rbiologi, cand.scient.;439;474045;Natur
128;Italiensk, erhvervssproglig diplompr’Ùve ED (CBS);14;472206;Bus/kom
129;Erhvervssproglig grundstudium, engelsk-spansk (CBS);12;472139;Bus/kom
130;Engelsk, cand.ling.merc. (CBS);878;471342;Bus/kom
131;Kommunikation, cand.mag.;2969;471237;Kom
132;Fransk-spansk, erhv.sprog.bach. (CBS);78;468813;
133;Filmvidenskab, cand.mag.;427;468334;Hum
134;Industriel produktion, civiling.kand.;424;466343;Ing
135;P’_dagogik, cand.mag.;636;465556;Hum
136;Informatik, cand.mag.;966;461511;Kom
137;Psykologi, cand.merc. (CBS);53;461008;Bus/kom
138;Filosofi - erhvervs’Ùkonomi, cand.merc. (CBS);150;458460;Bus/kom
139;IT u.n.a., cand.it.;260;457774;Science
140;Biblioteks-informationsvidenskab, cand.scient.bibl.;668;456107;Hum
141;Musik/Musikvidenskab, cand.mag.;1107;455098;Hum
142;Erhvervssproglig grundstudium, engelsk-fransk (CBS);26;454938;Bus/kom
143;Spansk, cand.ling.merc. (CBS);130;450598;Bus/kom
144;Naturidenskab Indv.udd. lang videreg’Çende;1623;450497;Natur
145;Engelsk-tysk, erhv.sprog.bach. (CBS);513;450167;
146;Engelsk-fransk, erhv.sprog.bach. (CBS);652;449590;
147;Erhvervssproglig grundstudium, engelsk-tysk (CBS);46;449130;Bus/kom
148;Engelsk, cand.ling.merc.;689;447481;Bus/kom
149;Teologi, cand.theol. (CBS);2398;447197;Teo
150;Erhvervssproglig korrespondent, spansk (CBS);103;447071;Bus/kom
151;Fransk-italiensk, erhv.sprog.bach. (CBS);21;446725;
152;Erhvervssproglig korrespondent, engelsk (CBS);919;444997;Bus/kom
153;Politisk kommunikation og ledelse, cand.soc. (CBS);220;444280;Samf
154;Italiensk, cand.ling.merc. (CBS);44;443970;Bus/kom
155;Internationale udviklingsstudier, cand.soc.;446;443965;Samf
156;Erhvervssproglig korrespondent, tysk (CBS);273;442248;Bus/kom
157;Psykologi-p’_dagogik, cand.p’_d.;811;441803;Samf
158;Religion studier/videnskab,c.mag.;359;441725;Hum
159;Fransk-tysk, erhv.sprog.bach. (CBS);87;441544;
160;Kommunikationsledelse - erhvervs’Ùkonomi, cand merc. (CBS);262;440541;Bus/kom
161;Spansk, cand.interpret. (CBS);20;440284;Bus/kom
162;Sociologi-p’_dagogik, cand.p’_d.;503;439595;Samf
163;Erhvervssproglig korrespondent, italiensk (CBS);19;439495;Bus/kom
164;Engelsk-spansk, erhv.sprog.bach. (CBS);415;436762;
165;Tysk-spansk, erhv.sprog.bach. (CBS);67;436063;
166;Tysk, erhvervssproglig diplompr’Ùve ED (CBS);69;435920;
167;Engelsk-italiensk, erhv.sprog.bach. (CBS);189;435210;Bus/kom
168;’æstetisk kulturarbejde, cand.mag.;292;434712;Hum
169;Medievidenskab, cand.mag.;866;431161;Kom
170;Digital design og kommunikation, cand.it.;941;431138;Science
171;Engelsk-russisk, erhv.sprog.bach. (CBS);54;431017;Bus/kom
172;Bygge-anl’_g, civiling.kand.;433;430529;Ing
173;Folkesundhedsvidenskab, cand.scient.san.publ.;422;430336;Sund
174;Spansk, cand.ling.merc.;258;429642;Bus/kom
175;Litteraturvidenskab, cand.mag.;770;429141;Hum
176;Filosofi, cand.mag.;674;428998;Hum
177;Tysk, cand.ling.merc. (CBS);298;426990;Bus/kom
178;Tegnsprogstolk, overbygning (CBS);57;425566;
179;Human ressource management, cand.soc. (CBS);94;422772;Samf
180;HA kommunikation, bach. (CBS);72;419284;Bus/kom
181;Etnografi/antropologi, cand.mag.;795;418944;Hum
182;Spansk, erhvervssproglig diplompr’Ùve ED (CBS);30;417220;Bus/kom
183;Instrumentalist/sanger, kand.;1407;414039;Hum
184;Elektronik-IT, civiling.kand.;541;413119;Ing
185;Kultur og kulturformidling, cand.mag.;968;410281;Hum
186;HA psykologi, bach. (CBS);26;408453;Bus/kom
187;Antropologi-p’_dagogik, cand.p’_d.;294;401596;Hum
188;International marketing, erhv.sprog.bach. (CBS);119;400559;Bus/kom
189;Engelsk kombineret, erhv.sprog.bach. (CBS);37;388584;Bus/kom
190;Kemi-milj’Ù, civiling.kand.;259;387311;Ing
191;Kommunikation, cand.ling.merc.;725;387112;Bus/kom
192;Kommunikation, erhv.sprog.bach. (CBS);165;375979;Bus/kom
193;Teknisk Indv.udd. lang videreg’Çende;1365;372717;Science
194;Design og innovation, civiling. cand.polyt.;346;370856;Ing
195;Kultur- og sprogm’Ùdestudier,cand.mag.;349;369621;Hum
196;Kunsthistorie, cand.mag.;495;358298;Hum
197;Tresproglig korrespondent (CBS);23;357449;Bus/kom
198;Social/sundhed Indv.udd. lang videreg’Çende;624;357224;Sund
199;Konferencetolk (CBS);10;355846;Bus/kom
200;Cand.ling.merc. u.n.a. (CBS);472;355313;Bus/kom
201;Almen musikp’_dagogik AM, kand.;329;355047;Hum
202;Designer visuel kommunikation, overbygn.;523;355008;Kom
203;Samfundsvidenskab Indv.udd. lang videreg’Çende;1843;353910;Samf
204;Service management, cand.soc. (CBS);28;353412;Samf
205;Management creative business processes, cand.soc. (CBS);139;353005;Samf
206;Designer industriel, overbygn.;452;345749;
207;HA erhvervs’Ùkonomi og service management, bach. (CBS);61;342700;Bus/kom
208;Erhvervssprog u.n.a., erhv.sprog.bach. (CBS);185;342609;Bus/kom
209;HA japansk, bach. (CBS);63;340326;Bus/kom
210;Designer m’Ùbel og rum, overbygn.;266;340085;
211;HA international erhvervs’Ùkonomi og politik, bach. (CBS);13;339367;Bus/kom
212;Sprog-europ’_iske studier, erhv.sprog.bach. (CBS);59;339217;Bus/kom
213;Humanistisk/teologisk Indv.udd. lang videreg’Çende;1346;322121;Hum
214;International business and politics, cand.merc.(pol.) (CBS);35;322034;Business
215;Engelsk-amerikanske studier, erhv.sprog.bach. (CBS);45;303729;Bus/kom
216;P’_dagogik Indv.udd. lang videreg’Çende;540;303613;Hum
217;Organisation, innovation - entrepreneurship, cand.soc. (CBS);15;298947;Samf
218;Designer unika design;263;276609;Hum
